season,batting_team,total_runs,total_balls,total_wickets,run_rate
2007/08,Chennai Super Kings,698,478,16,8.76
2007/08,Deccan Chargers,308,244,15,7.57
2007/08,Delhi Daredevils,269,222,9,7.27
2007/08,Kings XI Punjab,686,493,28,8.35
2007/08,Kolkata Knight Riders,552,497,25,6.66
2007/08,Mumbai Indians,386,367,19,6.31
2007/08,Rajasthan Royals,773,594,29,7.81
2007/08,Royal Challengers Bangalore,511,472,33,6.5
2009/10,Chennai Super Kings,468,370,16,7.59
2009/10,Deccan Chargers,316,353,27,5.37
2009/10,Delhi Daredevils,222,249,17,5.35
2009/10,Kings XI Punjab,293,236,6,7.45
2009/10,Kolkata Knight Riders,394,341,12,6.93
2009/10,Mumbai Indians,261,247,17,6.34
2009/10,Rajasthan Royals,129,121,9,6.4
2009/10,Royal Challengers Bangalore,234,190,4,7.39
2011,Chennai Super Kings,314,248,13,7.6
2011,Deccan Chargers,311,244,6,7.65
2011,Delhi Daredevils,51,63,3,4.86
2011,Kings XI Punjab,432,362,20,7.16
2011,Kochi Tuskers Kerala,89,48,2,11.12
2011,Kolkata Knight Riders,283,225,10,7.55
2011,Mumbai Indians,428,370,18,6.94
2011,Pune Warriors,347,355,21,5.86
2011,Rajasthan Royals,226,194,10,6.99
2011,Royal Challengers Bangalore,543,473,24,6.89
2012,Chennai Super Kings,204,250,18,4.9
2012,Deccan Chargers,318,244,13,7.82
2012,Delhi Daredevils,515,374,12,8.26
2012,Kings XI Punjab,254,246,15,6.2
2012,Kolkata Knight Riders,506,421,29,7.21
2012,Mumbai Indians,438,344,14,7.64
2012,Pune Warriors,154,124,6,7.45
2012,Rajasthan Royals,327,244,15,8.04
2012,Royal Challengers Bangalore,264,249,17,6.36
2013,Chennai Super Kings,546,396,23,8.27
2013,Delhi Daredevils,303,233,10,7.8
2013,Kings XI Punjab,584,478,24,7.33
2013,Kolkata Knight Riders,620,600,27,6.2
2013,Mumbai Indians,247,240,10,6.17
2013,Pune Warriors,541,492,31,6.6
2013,Rajasthan Royals,445,365,13,7.32
2013,Royal Challengers Bangalore,733,544,23,8.08
2013,Sunrisers Hyderabad,411,362,20,6.81
2014,Kings XI Punjab,191,122,4,9.39
2014,Kolkata Knight Riders,194,123,7,9.46
2015,Chennai Super Kings,700,604,30,6.95
2015,Delhi Daredevils,422,345,14,7.34
2015,Kings XI Punjab,664,618,38,6.45
2015,Kolkata Knight Riders,389,313,20,7.46
2015,Mumbai Indians,363,243,8,8.96
2015,Rajasthan Royals,307,247,11,7.46
2015,Royal Challengers Bangalore,556,412,19,8.1
2015,Sunrisers Hyderabad,516,368,18,8.41
2016,Delhi Daredevils,321,319,20,6.04
2016,Gujarat Lions,993,794,41,7.5
2016,Kings XI Punjab,429,370,22,6.96
2016,Kolkata Knight Riders,629,574,27,6.57
2016,Mumbai Indians,405,378,24,6.43
2016,Rising Pune Supergiants,601,459,17,7.86
2016,Royal Challengers Bangalore,492,351,14,8.41
2016,Sunrisers Hyderabad,588,468,21,7.54
2017,Delhi Daredevils,305,246,18,7.44
2017,Gujarat Lions,148,118,10,7.53
