striker,total_runs,total_balls,dismissals,strike_rate
V Kohli,1790,1399,52,127.95
KL Rahul,1361,988,27,137.75
RG Sharma,1309,1038,49,126.11
S Dhawan,1187,948,34,125.21
F du Plessis,1176,938,35,125.37
SA Yadav,1069,721,23,148.27
DA Warner,1067,754,24,141.51
JC Buttler,1054,717,27,147.0
MS Dhoni,1039,740,35,140.41
RR Pant,998,712,26,140.17
Shubman Gill,982,729,24,134.71
SS Iyer,950,728,31,130.49
AM Rahane,936,766,27,122.19
SK Raina,898,662,30,135.65
Ishan Kishan,875,651,27,134.41
RA Tripathi,857,586,25,146.25
YBK Jaiswal,778,553,22,140.69
AB de Villiers,766,526,20,145.63
SV Samson,758,639,32,118.62
N Pooran,756,516,25,146.51
RM Patidar,754,507,19,148.72
Q de Kock,753,611,27,123.24
Abhishek Sharma,752,472,23,159.32
SR Watson,748,589,19,126.99
AT Rayudu,742,622,21,119.29
KD Karthik,730,560,29,130.36
RA Jadeja,708,583,19,121.44
MA Agarwal,682,521,23,130.9
RV Uthappa,671,596,28,112.58
PP Shaw,652,423,21,154.14
CH Gayle,647,526,26,123.0
DA Miller,645,510,21,126.47
G Gambhir,643,542,19,118.63
RD Gaikwad,632,490,13,128.98
MK Pandey,620,535,23,115.89
HH Pandya,607,450,26,134.89
D Padikkal,598,499,23,119.84
N Rana,587,405,19,144.94
YK Pathan,579,434,20,133.41
KA Pollard,572,376,21,152.13
R Parag,569,448,19,127.01
MR Marsh,553,425,14,130.12
S Dube,553,431,19,128.31
PA Patel,552,446,17,123.77
WP Saha,544,488,21,111.48
GJ Maxwell,529,395,29,133.92
B Sai Sudharsan,521,361,11,144.32
BB McCullum,516,361,19,142.94
SO Hetmyer,477,312,15,152.88
SE Marsh,475,371,12,128.03
AK Markram,469,343,14,136.73
AJ Finch,467,384,18,121.61
MP Stoinis,460,318,16,144.65
Tilak Varma,459,340,12,135.0
VR Iyer,446,338,15,131.95
M Vijay,441,356,16,123.88
AR Patel,433,361,19,119.94
JM Sharma,425,274,13,155.11
AC Gilchrist,424,323,10,131.27
MEK Hussey,421,310,11,135.81
AD Russell,412,290,16,142.07
TM Head,390,257,10,151.75
DJ Hooda,380,310,18,122.58
H Klaasen,375,228,7,164.47
JM Bairstow,375,318,15,117.92
Yuvraj Singh,373,283,15,131.8
KH Pandya,373,312,22,119.55
PD Salt,367,198,12,185.35
SPD Smith,358,336,17,106.55
MK Tiwary,348,309,11,112.62
R Tewatia,341,270,17,126.3
SS Tiwary,340,321,10,105.92
KS Williamson,338,315,13,107.3
EJG Morgan,336,268,13,125.37
MM Ali,319,234,12,136.32
JH Kallis,317,325,15,97.54
DR Smith,311,233,9,133.48
A Badoni,302,226,9,133.63
LS Livingstone,291,196,13,148.47
M Shahrukh Khan,286,202,11,141.58
DJ Bravo,286,264,16,108.33
KC Sangakkara,284,213,11,133.33
TH David,266,161,11,165.22
R Dravid,262,219,10,119.63
SN Khan,249,153,9,162.75
DP Conway,246,175,6,140.57
P Simran Singh,240,183,13,131.15
NV Ojha,231,214,9,107.94
SC Ganguly,228,239,9,95.4
A Symonds,228,159,4,143.4
MC Henriques,227,186,11,122.04
Shahbaz Ahmed,223,173,8,128.9
SP Narine,222,182,22,121.98
Priyansh Arya,221,115,6,192.17
Mandeep Singh,221,188,14,117.55
Shashank Singh,220,177,9,124.29
KK Nair,214,165,9,129.7
LMP Simmons,214,170,6,125.88
Nithish Kumar Reddy,212,158,6,134.18
Abishek Porel,211,143,8,147.55
V Shankar,208,166,11,125.3
R Ravindra,206,151,10,136.42
SR Tendulkar,203,189,7,107.41
A Mhatre,203,103,4,197.09
M Vohra,200,163,10,122.7
WG Jacks,199,143,7,139.16
R Ashwin,197,167,13,117.96
PJ Cummins,196,119,11,164.71
D Brevis,196,136,7,144.12
N Wadhera,196,151,8,129.8
Rashid Khan,189,131,11,144.27
Abdul Samad,188,132,13,142.42
Dhruv Jurel,179,129,6,138.76
IK Pathan,178,128,6,139.06
J Fraser-McGurk,168,87,5,193.1
S Badrinath,166,154,8,107.79
MK Lomror,165,138,11,119.57
Naman Dhir,162,82,5,197.56
SM Curran,162,116,7,139.66
KV Sharma,160,117,8,136.75
RD Rickelton,159,113,4,140.71
Harbhajan Singh,158,121,6,130.58
JP Duminy,154,137,6,112.41
RK Singh,148,124,8,119.35
T Stubbs,148,91,3,162.64
DJ Hussey,142,150,7,94.67
DPMD Jayawardene,138,117,8,117.95
ML Hayden,138,137,5,100.73
Ramandeep Singh,137,97,7,141.24
LRPL Taylor,134,76,3,176.32
Washington Sundar,130,123,8,105.69
KP Pietersen,130,92,1,141.3
AD Mathews,129,101,7,127.72
Ashutosh Sharma,129,76,5,169.74
V Sehwag,128,97,13,131.96
CL White,128,98,4,130.61
LR Shukla,125,98,5,127.55
R Powell,123,120,11,102.5
OA Shah,123,77,2,159.74
PK Garg,120,123,9,97.56
JP Inglis,120,79,5,151.9
GC Smith,120,88,2,136.36
CA Pujara,119,123,6,96.75
PP Chawla,119,93,10,127.96
RN ten Doeschate,118,87,8,135.63
MS Bisla,117,112,8,104.46
Anuj Rawat,117,103,4,113.59
