bowler,total_wickets,total_balls,total_runs_given,economy
JJ Bumrah,62,845,954,6.77
YS Chahal,58,899,1157,7.72
B Kumar,49,969,1239,7.67
DJ Bravo,48,695,798,6.89
HV Patel,44,766,992,7.77
Avesh Khan,41,670,901,8.07
R Ashwin,41,1038,1189,6.87
AD Russell,40,451,602,8.01
SP Narine,39,927,982,6.36
TA Boult,39,854,1151,8.09
PP Chawla,35,556,680,7.34
SN Thakur,34,648,940,8.7
Rashid Khan,34,607,708,7.0
K Rabada,34,519,736,8.51
RA Jadeja,32,729,893,7.35
Z Khan,32,474,530,6.71
PJ Cummins,31,578,757,7.86
JD Unadkat,31,428,514,7.21
Kuldeep Yadav,30,481,608,7.58
LH Ferguson,30,381,493,7.76
Sandeep Sharma,29,717,913,7.64
KK Ahmed,29,525,810,9.26
Arshdeep Singh,27,505,687,8.16
T Natarajan,27,430,588,8.2
Mohammed Siraj,26,717,982,8.22
KH Pandya,26,694,811,7.01
JR Hazlewood,26,350,462,7.92
AR Patel,25,759,955,7.55
CV Varun,25,590,722,7.34
M Prasidh Krishna,24,454,541,7.15
PWH de Silva,23,334,440,7.9
Ravi Bishnoi,23,575,713,7.44
Mohammed Shami,23,579,802,8.31
A Mishra,22,458,501,6.56
SL Malinga,22,356,354,5.97
SR Watson,22,404,412,6.12
SM Curran,21,248,304,7.35
A Nortje,21,327,425,7.8
Harbhajan Singh,21,447,552,7.41
Yash Dayal,20,358,581,9.74
I Sharma,20,515,670,7.81
UT Yadav,19,501,684,8.19
Mustafizur Rahman,19,408,514,7.56
R Vinay Kumar,19,302,363,7.21
Mukesh Kumar,18,180,266,8.87
RD Chahar,18,416,523,7.54
AB Dinda,18,236,228,5.8
JO Holder,18,250,303,7.27
MA Starc,18,222,275,7.43
MG Johnson,17,211,264,7.51
IK Pathan,17,302,373,7.41
R Bhatia,17,306,308,6.04
DS Kulkarni,17,300,370,7.4
HH Pandya,16,407,597,8.8
M Morkel,16,260,320,7.38
MC Henriques,16,235,277,7.07
M Pathirana,16,261,329,7.56
JH Kallis,16,290,377,7.8
A Nehra,15,258,344,8.0
Umran Malik,15,209,280,8.04
PP Ojha,15,245,275,6.73
KA Pollard,15,267,351,7.89
MM Patel,14,205,267,7.81
Washington Sundar,14,363,428,7.07
L Balaji,14,197,245,7.46
GJ Maxwell,14,299,331,6.64
JA Morkel,14,250,294,7.06
M Ashwin,13,258,283,6.58
P Kumar,13,521,605,6.97
TG Southee,13,191,216,6.79
MM Sharma,13,297,421,8.51
JC Archer,12,244,267,6.57
KV Sharma,12,335,457,8.19
CH Morris,12,266,314,7.08
CJ Jordan,12,225,327,8.72
Iqbal Abdulla,11,188,216,6.89
DW Steyn,11,278,286,6.17
Harpreet Brar,11,250,330,7.92
MM Ali,11,198,196,5.94
M Muralitharan,11,217,241,6.66
Shahbaz Ahmed,11,297,425,8.59
TU Deshpande,11,270,371,8.24
MR Marsh,11,163,184,6.77
DT Christian,10,154,206,8.03
M Kartik,10,199,212,6.39
E Malinga,10,98,145,8.88
Harshit Rana,10,178,245,8.26
B Lee,10,260,286,6.6
Mohsin Khan,10,201,247,7.37
MJ McClenaghan,9,171,226,7.93
NM Coulter-Nile,9,121,136,6.74
DE Bollinger,9,153,193,7.57
Noor Ahmad,9,204,252,7.41
GB Hogg,9,124,142,6.87
MP Stoinis,9,178,300,10.11
SK Raina,9,195,248,7.63
S Gopal,9,198,258,7.82
Imran Tahir,9,142,161,6.8
Harmeet Singh,8,114,155,8.16
MJ Santner,8,150,138,5.52
P Negi,8,91,105,6.92
JP Faulkner,8,239,299,7.51
S Aravind,8,155,183,7.08
RJ Harris,8,117,122,6.26
N Thushara,8,118,145,7.37
KK Cooper,8,102,123,7.24
R Sai Kishore,8,138,203,8.83
R Sharma,8,195,233,7.17
R Shepherd,8,161,287,10.7
Mukesh Choudhary,8,124,151,7.31
R Tewatia,8,200,257,7.71
NLTC Perera,8,118,170,8.64
DL Vettori,8,162,178,6.59
Shivam Mavi,8,160,223,8.36
DR Sams,8,216,279,7.75
SK Warne,8,153,186,7.29
C Sakariya,8,124,156,7.55
SB Jakati,8,204,276,8.12
DL Chahar,8,400,531,7.96
RP Singh,7,157,199,7.61
YK Pathan,7,198,249,7.55
KA Jamieson,7,123,181,8.83
WD Parnell,7,121,122,6.05
VG Arora,7,226,303,8.04
RP Meredith,7,138,192,8.35
Ashwani Kumar,7,59,116,11.8
C Green,7,89,95,6.4
Simarjeet Singh,7,104,100,5.77
L Ngidi,7,97,181,11.2
Shakib Al Hasan,7,156,133,5.12
A Kamboj,7,123,164,8.0
DR Smith,7,70,72,6.17
MS Gony,7,175,259,8.88
OC McCoy,7,77,77,6.0
AB Agarkar,7,104,107,6.17
DJG Sammy,6,44,62,8.45
PVD Chameera,6,151,230,9.14
Akash Madhwal,6,94,156,9.96
JL Pattinson,6,108,143,7.94
A Zampa,6,121,149,7.39
M Theekshana,6,251,319,7.63
AN Ahmed,6,91,120,7.91
Kartik Tyagi,6,152,200,7.89
JDP Oram,6,86,126,8.79
G Coetzee,6,148,214,8.68
P Awana,6,121,181,8.98
Ramandeep Singh,6,41,49,7.17
SK Trivedi,6,218,286,7.87
J Suchith,6,120,154,7.7
M Jansen,6,227,297,7.85
Suyash Sharma,5,201,323,9.64
NT Ellis,5,50,62,7.44
A Singh,5,60,79,7.9
A Kumble,5,71,49,4.14
Yuvraj Singh,5,152,160,6.32
